ranking,club name ,country,point score,1 year change,previous point scored,symbol change
2051,FK Aksu,Kazakhstan,1253,46,1250,+
2151,FK Arys,Kazakhstan,1247,157,1240,+
2275,FK Atlantas,Lithuania,1240,39,1240,-
2029,FK Auda,Latvia,1254,68,1250,+
2744,FK Bačka Palanka,Serbia,1158,12,1170,-
2665,FK Belasica Strumica,Macedonia,1193,22,1201,-
2013,FK Bokelj,Montenegro,1255,8,1255,-
2281,FK Borec Veles,Nigeria,1239,599,1281,-
2296,FK Bregalnica Stip,Macedonia,1238,211,1222,+
441,FK Desna Chernihiv,Ukraine,1449,110,1486,-
1902,FK Donji Srem,Serbia,1263,12,1263,-
2637,FK Drina Zvornik,Bosnia and Herzegovina,1200,14,1200,-
2236,FK Gorno Lisice,Macedonia,1242,36,1242,-
1217,FK Gorodeya,Belarus,1324,8,1324,-
2694,FK Gostivar,Macedonia,1185,7,1185,-
2546,FK Guliston,Uzbekistan,1216,15,1216,-
1045,FK Haugesund,Norway,1342,244,1371,-
1987,FK Horizont Turnovo,Macedonia,1257,16,1257,-
2495,FK Inđija,Serbia,1221,162,1238,-
1169,FK Inhulets' Petrove,Ukraine,1328,75,1336,-
1202,FK Iskra,Montenegro,1325,63,1318,+
1657,FK Istiqlol Dushanbe,Tajikistan,1284,36,1287,-
2614,FK Jelgava,Latvia,1205,14,1205,-
1380,FK Jerv,Norway,1304,59,1300,+
2001,FK Jezero Plav,Montenegro,1256,61,1252,+
1858,FK Kaspiy Aktau,Kazakhstan,1267,311,1249,+
1369,FK Kauno Zalgiris,Lithuania,1305,136,1297,+
1427,FK Kolubara,Serbia,1301,12,1300,+
2135,FK Kom Podgorica,Montenegro,1248,43,1248,-
1942,FK Krupa,Bosnia and Herzegovina,1260,42,1256,+
2718,FK Leotar,Bosnia and Herzegovina,1176,2,1177,-
1042,FK Liepājas Metalurgs,Latvia,1342,273,1314,+
1360,FK Mariupol Illichivets',Ukraine,1307,479,1360,-
1726,FK Metalac,Serbia,1277,151,1291,-
2619,Fk Metalurg Skopje,Macedonia,1203,14,1203,-
2761,FK Metta,Latvia,1090,0,1095,-
2231,FK Mladost Doboj Kakanj,Bosnia and Herzegovina,1242,49,1248,-
1022,FK Mladost Lučani,Serbia,1344,112,1357,-
2110,FK Olympic Tashkent,Uzbekistan,1250,13,1250,-
2647,FK Palanga,Lithuania,1198,10,1198,-
1641,FK Panevėžys,Lithuania,1285,335,1257,+
1055,FK Pardubice,Czech Republic,1340,441,1407,-
2357,FK Podgorica,Montenegro,1233,191,1249,-
2475,FK Pohronie,Slovakia,1223,783,1280,-
1431,FK Proleter Novi Sad,Serbia,1301,128,1293,+
1044,FK Radnik Surdulica,Serbia,1342,14,1344,-
30,FK Red Star Belgrade,Serbia,1758,5,1733,+
916,FK Riteriai,Lithuania,1356,66,1365,-
478,FK Rostov,Russia,1440,169,1493,-
478,FK Rostov,Russia,1440,169,1493,-
1249,FK Rotor Volgograd,Russia,1320,103,1309,+
391,FK Sarajevo,Bosnia and Herzegovina,1463,50,1480,-
2028,FK Senica,Slovakia,1254,156,1248,+
1295,FK Septemvri Sofia,Bulgaria,1315,2,1315,-
2097,FK Šilas,Lithuania,1250,1,1250,-
1916,FK Sileks,Macedonia,1262,90,1268,-
2435,FK Skopje,Macedonia,1226,89,1238,-
1501,FK Slutsk,Belarus,1296,295,1270,+
1180,FK Spartak Subotica,Serbia,1327,194,1348,-
2030,FK Spartaks,Latvia,1254,252,1272,-
2706,FK Sputnik Rechytsa,Belarus,1180,932,1272,-
1715,FK Tambov,Russia,1278,126,1290,-
2721,FK Tauras Taurage,Lithuania,1174,2,1174,-
2683,FK Teteks,Macedonia,1189,9,1189,-
1286,FK Tosno,Russia,1316,3,1316,-
2668,FK Tukums 2000,Latvia,1192,6,1197,-
2409,FK Turan,Uzbekistan,1229,178,1245,-
1087,FK Tuzla City,Bosnia and Herzegovina,1337,175,1318,+
2569,FK Utenis Utena,Lithuania,1213,17,1213,-
1154,FK Vitebsk,Belarus,1329,162,1347,-
1848,FK Zemun,Serbia,1267,15,1267,-
866,FK Zirka Kirovohrad,Ukraine,1365,153,1345,+
2287,FK Zlatibor Čajetina,Serbia,1238,47,1238,-
1992,FK Zvijezda 09,Bosnia and Herzegovina,1257,13,1257,-
1415,FKS Stal Mielec,Poland,1302,262,1282,+
2182,Flame Lilly,Zimbabwe,1245,44,1245,-
29,Flamengo,Brazil,1768,6,1772,-
1922,Flint Town United,Wales,1262,414,1238,+
41,Flora Tallinn,Estonia,1717,5,1707,+
87,Fluminense FC,Brazil,1635,25,1669,-
545,Foolad Khuzestan,Iran,1424,34,1416,+
2401,Forest Rangers,Zambia,1230,48,1237,-
2220,Forge FC,Canada,1243,123,1250,-
174,Fortaleza,Colombia,1556,130,1495,+
208,Fortuna Düsseldorf,Germany,1541,8,1541,-
1057,Fortuna Sittard,Netherlands,1340,420,1403,-
903,Fovu de Baham,Cameroon,1358,27,1354,+
2748,FOX Villa FC,Nicaragua,1153,1,1153,-
1514,Fredrikstad,Norway,1295,22,1295,-
1568,Free State Stars,South Africa,1290,26,1290,-
52,Freiburg,Germany,1692,40,1622,+
645,Frosinone,Italy,1404,13,1404,-
2630,Fuerza Amarilla SC,Ecuador,1202,11,1202,-
414,Fulham,England,1457,122,1498,-
663,FUS Rabat,Morocco,1398,69,1412,-
1157,Future FC,Egypt,1329,282,1300,+
1981,Gabès,Tunisia,1258,17,1258,-
2009,Gaborone United,Botswana,1255,6,1255,-
2575,Gagauziya,Moldova,1212,15,1212,-
2270,Gahar Zagros,Iran,1240,39,1240,-
1712,GAIS,Sweden,1278,0,1278,-
1997,Gaitcha FCN,New Caledonia,1256,8,1256,-
242,Galatasaray,Turkey,1526,105,1582,-
1923,Galway United FC,Ireland,1262,11,1262,-
643,Gamba Osaka,Japan,1404,158,1438,-
895,Gangwon FC,South Korea,1359,82,1369,-
1676,Gateway FC,Nigeria,1282,2,1282,-
1776,Gaz Metan Mediaş,Romania,1272,897,1360,-
1558,Gaziantepspor,Turkey,1291,27,1291,-
562,Gazişehir Gaziantep FK,Turkey,1421,93,1442,-
2246,GD Baixa de Kassanje,Angola,1242,7,1243,-
1420,Gefle,Sweden,1302,3,1302,-
1271,Gençlerbirligi,Turkey,1318,45,1323,-
1150,General Caballero,Paraguay,1330,2,1330,-
886,General Caballero JLM,Paraguay,1361,69,1350,+
1855,General Díaz,Paraguay,1267,17,1267,-
259,Genoa,Italy,1517,110,1570,-
193,Gent,Belgium,1547,115,1494,+
2309,Germinal Beerschot,Belgium,1237,1193,1333,-
112,Getafe,Spain,1605,7,1610,-
485,GFC Ajaccio,France,1438,1,1438,-
485,GFC Ajaccio,France,1438,1,1438,-
2326,GFK Tikvesh,Nigeria,1235,230,1250,-
2181,Ghazl El Mehalla,Egypt,1245,189,1235,+
1508,GIF Sundsvall,Sweden,1295,19,1299,-
2067,Gigira Laitepo,Papua New Guinea,1252,1,1252,-
262,Gil Vicente FC,Portugal,1517,396,1398,+
633,Gimcheon Sangmu FC,South Korea,1406,26,1398,+
246,Gimnasia y Esgrima La Plata,Argentina,1525,84,1486,+
863,Giresunspor,Turkey,1365,92,1350,+
205,Girona,Spain,1542,10,1542,-
994,Giwa FC,Nigeria,1347,2,1347,-
1532,Glenavon,Northern Ireland,1293,23,1297,-
945,Glentoran,Northern Ireland,1353,306,1320,+
2356,Gloria Bistrita,Romania,1233,38,1233,-
1029,Go Ahead Eagles,Netherlands,1343,905,1260,+
1496,Go Round,Nigeria,1296,21,1296,-
333,Godoy Cruz Antonio Tomba,Argentina,1481,144,1440,+
349,Goiás,Brazil,1475,1,1475,-
1627,Gokulam Kerala Fc,India,1286,163,1270,+
621,GOL Gohar Sirjan FC,Iran,1408,372,1347,+
959,Gold Coast United,Australia,1352,16,1352,-
1149,Gombe United,Nigeria,1330,154,1315,+
763,Gomel,Belarus,1381,710,1299,+
1567,Gorica,Slovenia,1290,33,1289,+
1882,Gornik Leczna,Poland,1264,245,1286,-
825,Gornik Zabrze,Poland,1369,92,1355,+
2477,GOŠK Gabela,Bosnia and Herzegovina,1223,26,1223,-
917,Gostaresh Foolad,Iran,1356,4,1356,-
1193,Göztepe AŞ,Turkey,1326,564,1404,-
2653,Gradina Srebrenik,Bosnia and Herzegovina,1196,14,1196,-
2167,Gran Valencia FC,Venezuela,1246,102,1242,+
226,Granada,Spain,1533,150,1644,-
1710,Granit,Belarus,1279,1,1279,-
1829,Granit Mikashevichi,Belarus,1268,11,1268,-
1251,Grasshopper Club Zürich,Switzerland,1320,170,1302,+
1736,Grbalj Radanovici,Montenegro,1276,4,1276,-
1450,Green Buffaloes,Zambia,1299,152,1289,+
1677,Green Eagles,Zambia,1282,647,1239,+
117,Grêmio,Brazil,1599,54,1669,-
700,Grêmio Prudente,Brazil,1393,15,1393,-
660,Grenoble,France,1399,3,1399,-
2743,Gresik United FC,Indonesia,1159,2,1159,-
596,Greuther Fürth,Germany,1412,8,1414,-
1287,Grödig,Austria,1316,2,1316,-
1890,Grombalia Sports,Tunisia,1264,9,1264,-
1477,Guabirá,Bolivia,1298,222,1319,-
290,Guadalajara,Mexico,1501,43,1520,-
1176,Guadalupe FC,Costa Rica,1327,72,1320,+
687,Guaireña FC,Paraguay,1395,112,1417,-
1050,Gualaceo SC,Ecuador,1341,95,1350,-
1304,Guangzhou City F.C.,China PR,1314,100,1303,+
296,Guangzhou F.C.,China PR,1498,117,1552,-
194,Guaraní,Paraguay,1546,59,1516,+
552,Guarani FC,Brazil,1422,2,1422,-
712,Guastatoya,Guatemala,1391,266,1448,-
2640,Guaynabo Fluminense,Puerto Rico,1199,13,1199,-
587,Guingamp,France,1415,6,1415,-
1719,Guizhou Hengfeng,China PR,1278,3,1278,-
599,Gunners,Zimbabwe,1411,4,1411,-
1186,Gwangju FC,South Korea,1326,27,1323,+
758,Gyeongnam FC,South Korea,1382,16,1382,-
1806,Gyirmót SE,Hungary,1270,74,1264,+
424,Györi ETO,Hungary,1455,7,1455,-
2241,H&H Export Sébaco FC,Nicaragua,1242,145,1250,-
2166,Ha Noi TT,Vietnam,1246,44,1246,-
1222,Hajduk Kula,Serbia,1323,7,1323,-
248,Hajduk Split,Croatia,1523,129,1466,+
2686,Hajer FC Al-Hasa,Saudi Arabia,1188,8,1188,-
1345,Haka,Finland,1308,571,1261,+
1680,Halcones FC,Guatemala,1281,1,1281,-
1628,Halmstads BK,Sweden,1286,333,1258,+
1738,Hamam Sousse,Tunisia,1276,201,1260,+
1447,Hamarkameratene,Norway,1300,8,1300,-
215,Hamburger SV,Germany,1539,10,1539,-
2331,Hamilton Academical,Scotland,1235,45,1241,-
2500,Hamilton Wanderers Afc,New Zealand,1221,22,1221,-
318,Hammarby IF,Sweden,1488,60,1466,+
1503,Hangzhou Greentown,China PR,1296,19,1296,-
527,Hannover 96,Germany,1429,2,1429,-
2531,Hapoel Ashkelon,Israel,1217,21,1217,-
283,Hapoel Be'er Sheva,Israel,1506,115,1459,+
962,Hapoel Hadera,Israel,1351,55,1345,+
1059,Hapoel Haifa,Israel,1340,22,1343,-
2373,Hapoel Ironi Akko,Israel,1232,32,1232,-
1643,Hapoel Jerusalem,Israel,1285,204,1300,-
2072,Hapoel Kfar Saba,Israel,1252,97,1257,-
1889,Hapoel Nof HaGalil,Israel,1264,450,1300,-
1814,Hapoel Petah Tikva FC,Israel,1269,8,1269,-
2370,Hapoel Ra'anana,Israel,1232,33,1232,-
2355,Hapoel Ramat Gan,Israel,1233,38,1233,-
1665,Hapoel Rishon LeZion,Israel,1283,4,1283,-
795,Hapoel Tel Aviv,Israel,1375,188,1349,+
1371,Harare City,Zimbabwe,1305,20,1309,-
1574,Haras El-Hodood SC,Egypt,1289,23,1289,-
1920,Harbin Yiteng,China PR,1262,11,1262,-
2155,Harbour View,Jamaica,1247,134,1241,+
2302,Hardbody,Zimbabwe,1237,47,1237,-
1978,Hasaacas,Ghana,1258,16,1258,-
2248,Haskovo 2009,Bulgaria,1242,37,1242,-
826,Hassania Agadir,Morocco,1369,111,1387,-
438,Hatayspor Kulübü,Turkey,1450,21,1444,+
2680,Hatta,United Arab Emirates,1189,15,1187,+
1288,Havadar S.C.,Iran,1316,151,1300,+
2272,Haverfordwest County,Wales,1240,255,1220,+
1682,Hawke's Bay United,New Zealand,1281,2,1281,-
2145,Hay Al Arab,Sudan,1248,42,1248,-
1834,Hay Al Wadi SC,Sudan,1268,9,1268,-
1328,HB Chelghoum Laïd,Algeria,1311,112,1300,+
2678,HB Køge,Denmark,1189,11,1189,-
1190,Heart of Lions,Ghana,1326,8,1326,-
611,Heart of Midlothian,Scotland,1410,611,1323,+
1346,Heartland FC,Nigeria,1308,393,1350,-
801,Hearts of Oak,Ghana,1374,70,1361,+
1244,Hebei F.C.,China PR,1321,208,1343,-
1673,Hegelmann Litauen Kaunas,Lithuania,1282,561,1245,+
821,Hekari United,Papua New Guinea,1370,12,1370,-
79,Hellas Verona,Italy,1646,105,1549,+
1383,Helsingborgs IF,Sweden,1304,11,1306,-
1465,Henan Songshan Longmen F.C.,China PR,1299,266,1277,+
1849,Henderson Eels,Solomon Islands,1267,15,1267,-
507,Heracles,Netherlands,1433,57,1446,-
519,Hércules,Spain,1431,10,1431,-
2012,Herentals FC,Zimbabwe,1255,85,1250,+
1722,Herrera FC,Panama,1277,205,1260,+
285,Hertha BSC,Germany,1504,98,1548,-
724,Hibernian,Scotland,1389,267,1444,-
1690,Hienghène Sport,New Caledonia,1281,1,1281,-
1086,HIFK,Finland,1337,24,1334,+
572,Highlanders,Zimbabwe,1419,34,1426,-
1172,Highlands Park,South Africa,1328,2,1328,-
2100,Highway,Zimbabwe,1250,46,1250,-
1121,Hilal Al-Obayed,Sudan,1333,1,1333,-
2304,Hilal El-Fasher,Sudan,1237,47,1237,-
2663,Hindustan Aero,India,1193,13,1193,-
2348,Hiré,Ivory Coast,1233,41,1233,-
1564,Hispano,Honduras,1290,27,1290,-
220,HJK Helsinki,Finland,1536,45,1553,-
637,HNK Gorica,Croatia,1405,110,1428,-
1980,Hobro,Denmark,1258,17,1258,-
70,Hoffenheim,Germany,1664,10,1640,+
1637,Hønefoss,Norway,1285,12,1285,-
616,Honka,Finland,1409,198,1455,-
869,Honvéd,Hungary,1364,27,1358,+
1212,Horoya AC,Guinea,1324,80,1332,-
1658,Houston Dynamo,United States,1283,327,1311,-
2448,Hoverla Uzhhorod,Ukraine,1225,24,1225,-
1832,How Mine,Zimbabwe,1268,10,1268,-
872,Hradec Králové,Czech Republic,1363,542,1302,+
2403,Hrvatski Dragovoljac,Croatia,1230,512,1263,-
2210,HŠK Posušje,Bosnia and Herzegovina,1244,114,1250,-
764,Huachipato,Chile,1381,201,1420,-
901,Huddersfield Town,England,1358,3,1358,-
368,Hull City,England,1470,0,1470,-
1965,Humble Lions,Jamaica,1259,369,1289,-
225,Huracán,Argentina,1533,239,1442,+
859,Hwange,Zimbabwe,1365,10,1365,-
2076,Ibanda Sport,Congo DR,1251,0,1251,-
1320,Ifeanyi Ubah United,Nigeria,1312,16,1315,-
608,IFK Göteborg,Sweden,1410,28,1403,+
1409,IFK Mariehamn,Finland,1302,127,1316,-
363,IFK Norrköping,Sweden,1471,94,1506,-
1483,IFK Värnamo,Sweden,1298,44,1300,-
1730,Ikorodu United,Nigeria,1276,4,1276,-
2697,Ilukstes NSS,Latvia,1183,9,1183,-
684,Ilves,Finland,1395,136,1424,-
974,Imbabura,Ecuador,1350,4,1350,-
797,Incheon United,South Korea,1375,402,1324,+
2599,Indeni FC,Zambia,1208,32,1215,-
126,Independiente,Ecuador,1593,20,1572,+
218,Independiente,Argentina,1536,51,1558,-
1103,Independiente de La Chorrera,Panama,1335,14,1336,-
698,Independiente FBC (Campo Grande),Paraguay,1393,18,1393,-
2112,Independiente FC,El Salvador,1250,42,1250,-
328,Independiente Medellín,Colombia,1483,57,1465,+
709,Independiente Petrolero,Bolivia,1391,603,1314,+
1583,Indios,Mexico,1289,24,1289,-
228,Ingolstadt,Germany,1532,6,1532,-
2723,Institute FC,Northern Ireland,1174,2,1174,-
1989,Inter Allies FC,Ghana,1257,128,1265,-
1845,Inter Miami CF,United States,1268,641,1324,-
8,Inter Milan,Italy,1897,4,1944,-
2247,Interblock,Slovenia,1242,37,1242,-
730,Interclube de Angola,Angola,1388,30,1390,-
122,Internacional,Brazil,1596,69,1694,-
1629,Internaţional Curtea de Argeş,Romania,1286,11,1286,-
1160,Inverness CT,Scotland,1329,4,1329,-
920,Ionikos,Greece,1355,35,1350,+
843,Iraklis,Greece,1367,12,1367,-
906,Ironi Kiryat Schmona,Israel,1358,133,1343,+
1714,Ironi Ramat HaSharon,Israel,1278,0,1278,-
844,Irtysh Pavlodar,Kazakhstan,1367,10,1367,-
1510,Isidro Metapán,El Salvador,1295,282,1322,-
470,Iskra-Stal,Moldova,1441,2,1441,-
470,Iskra-Stal,Moldova,1441,2,1441,-
1015,Isloch,Belarus,1345,220,1371,-
1072,Ismaily SC,Egypt,1339,6,1339,-
1625,Issia Wazi,Ivory Coast,1286,14,1286,-
304,İstanbul Başakşehir,Turkey,1495,87,1463,+
2597,Ittihad Al-Ramtha,Jordan,1208,17,1208,-
1198,Ittihad El-Shorta,Egypt,1326,10,1326,-
1152,Ittihad Tanger,Morocco,1329,213,1353,-
2015,Ittihad Zemouri de Khemisset,Morocco,1255,7,1255,-
1204,Iztapa,Guatemala,1325,104,1335,-
2092,J.S. Groupe Bazano,Denmark,1250,270,1236,+
411,Jablonec,Czech Republic,1458,231,1551,-
939,Jagiellonia Białystok,Poland,1353,164,1375,-
1580,Jagodina,Serbia,1289,24,1289,-
905,Jaguares Chiapas,Mexico,1358,5,1358,-
1439,Jalapa,Guatemala,1300,2,1300,-
2466,Jangorzo,Niger,1224,24,1224,-
1611,Javor,Serbia,1287,44,1292,-
2535,Jazeerat Al Feel,Sudan,1217,20,1217,-
1760,JC Abidjan,Ivory Coast,1273,2,1273,-
2158,JCT FC,India,1247,39,1247,-
839,Jeanne d'Arc de Bamako,Mali,1367,11,1367,-
2667,Jedinstvo BP,Montenegro,1192,13,1192,-
1976,JEF United,Japan,1258,18,1258,-
566,Jeju United,South Korea,1420,98,1396,+
123,Jeonbuk FC,South Korea,1596,49,1644,-
1554,Jeonnam Dragons,South Korea,1291,27,1291,-
2380,Jeunesse Sportive de Kinshasa,Congo DR,1232,145,1245,-
1234,Jeunesse Sportive Soualem,Morocco,1322,205,1300,+
335,Jiangsu Suning FC,China PR,1481,5,1481,-
1536,Jigawa Golden Stars,Nigeria,1292,151,1304,-
2437,JL Chiangmai United FC,Thailand,1226,341,1250,-
2140,Jocoro FC,El Salvador,1248,142,1242,+
1529,Joe Public,Trinidad and Tobago,1293,28,1293,-
1451,Joenkoepings Soedra,Sweden,1299,24,1299,-
2154,Johor Darul Ta'zim FC,Malaysia,1247,144,1255,-
2472,Johvi FC Lokomotiv,Estonia,1223,26,1223,-
639,Joinville EC,Brazil,1404,9,1404,-
2450,Jomo Cosmos,South Africa,1225,24,1225,-
551,Jorge Wilstermann,Bolivia,1423,86,1442,-
1521,José Gálvez,Peru,1294,26,1294,-
514,JS Kabylie,Algeria,1432,9,1429,+
2684,JS Kairouanaise,Tunisia,1188,47,1203,-
387,JS Saoura,Algeria,1463,131,1430,+
2257,JSK Chabab Kasba Tadla,Morocco,1241,39,1241,-
1068,JSM Béjaïa,Algeria,1339,6,1339,-
1878,JSM Laâyoune,Morocco,1265,15,1265,-
2677,JSM Skikda,Algeria,1189,728,1259,-
1229,Juan Aurich,Peru,1322,2,1322,-
1061,Júbilo Iwata,Japan,1340,59,1346,-
238,Junior FC,Colombia,1527,6,1527,-
1813,JUTH FC,Nigeria,1269,8,1269,-
1915,Juticalpa,Honduras,1262,12,1262,-
1478,Juventud de Las Piedras,Uruguay,1298,18,1298,-
2148,Juventud Escuintleca,Guatemala,1247,42,1247,-
1432,Juventud Independiente,El Salvador,1301,1,1301,-
1762,Juventud Retalteca,Guatemala,1273,2,1273,-
16,Juventus,Italy,1820,4,1844,-
2588,Juventus Bucureşti,Romania,1209,18,1209,-
2576,Juventus Managua,Nicaragua,1212,64,1202,+
2298,Jwaneng Galaxy FC,Botswana,1238,201,1250,-
2342,Jyvaskyla JK,Finland,1234,42,1234,-
2086,Kabasha,Congo DR,1251,1,1251,-
739,Kabuscorp SCP,Angola,1386,148,1413,-
1958,Kabwe Warriors,Zambia,1260,93,1253,+
1977,KAC Kénitra,Morocco,1258,17,1258,-
1333,KACM Marrakech,Morocco,1310,4,1310,-
1542,Kaduna United FC,Nigeria,1292,29,1292,-
2216,Kafue Celtic,Zambia,1243,120,1250,-
216,Kairat Almaty,Kazakhstan,1538,17,1541,-
1502,Kaisar Kyzylorda,Kazakhstan,1296,163,1310,-
569,Kaiserslautern,Germany,1419,1,1419,-
487,Kaizer Chiefs,South Africa,1437,47,1427,+
487,Kaizer Chiefs,South Africa,1437,47,1427,+
2553,Kaliakra,Bulgaria,1215,22,1215,-
932,Kalmar FF,Sweden,1354,396,1312,+
2093,Kaloum Star,Guinea,1250,0,1250,-
2394,Kalteng Putra,Indonesia,1230,29,1230,-
2425,Kalulushi Modern Stars,Zambia,1227,26,1227,-
2245,Kalyani Bharat FC,India,1242,38,1242,-
708,Kano Pillars,Nigeria,1392,180,1428,-
2007,Kansanshi Dynamos,Zambia,1255,90,1250,+
2363,Kapfenberger SV,Austria,1233,34,1233,-
2666,Kaposvári Rákóczi,Hungary,1193,13,1193,-
2501,Karabükspor,Turkey,1221,22,1221,-
1833,Karela United FC,Ghana,1268,124,1258,+
1614,Karlovac,Croatia,1287,17,1287,-
2643,Karmiotissa Pano Polemidion,Cyprus,1199,248,1233,-
1324,Karpaty Lviv,Ukraine,1311,8,1311,-
2511,Karvan,Azerbaijan,1219,23,1219,-
189,Kashima Antlers,Japan,1547,95,1501,+
672,Kashiwa Reysol,Japan,1397,126,1424,-
521,Kasımpaşa,Turkey,1431,331,1365,+
1128,Katsina United,Nigeria,1332,152,1317,+
747,Kavala,Greece,1384,18,1384,-
59,Kawasaki Frontale,Japan,1681,8,1658,+
2570,Kaya F.C.-Iloilo,Peru,1213,474,1250,-
1255,Kayseri Erciyesspor,Turkey,1319,3,1319,-
870,Kayserispor,Turkey,1363,195,1340,+
2251,Kazakhmys,Kazakhstan,1241,39,1241,-
1884,KCCA FC,Togo,1264,10,1264,-
1122,Kecskeméti TE,Hungary,1333,1,1333,-
2324,Kenkre FC,India,1235,228,1250,-
2243,Kerala Blasters FC,India,1242,35,1242,-
898,Keşlə Futbol Klubu,Azerbaijan,1359,159,1383,-
410,KF Shkendija,Macedonia,1458,23,1464,-
2119,KF Tirana,Albania,1249,42,1249,-
2330,Kfarsoum,Jordan,1235,44,1235,-
1058,Khazar Lankaran FK,Azerbaijan,1340,8,1340,-
1093,Khimki,Russia,1336,158,1353,-
1910,Khon Kaen United FC,Thailand,1262,187,1250,+
2407,Khonkaen,Thailand,1229,27,1229,-
2376,Khorfakkan Club,United Arab Emirates,1232,44,1231,+
1378,Khroub,Algeria,1304,3,1304,-
1950,Kiglon,Zimbabwe,1260,15,1260,-
1219,Kilmarnock,Scotland,1324,26,1321,+
1860,King Faisal,Ghana,1266,137,1256,+
677,Kisvárda Master Good,Hungary,1396,371,1342,+
1691,Kitchee,Hong Kong,1280,635,1239,+
2596,Kitwe United,Zambia,1208,25,1215,-
2714,Kiwi,Samoa,1178,3,1178,-
1471,Kladno,Czech Republic,1298,21,1298,-
2681,Klaipedos Granitas,Lithuania,1189,9,1189,-
129,København,Denmark,1590,75,1539,+
1841,Kokand 1912,Uzbekistan,1268,103,1259,+
1582,Koloale,Solomon Islands,1289,24,1289,-
1998,Kongsvinger,Norway,1256,4,1256,-
2492,Konkola Blades,Zambia,1221,116,1235,-
2489,Konkola Mine Police,Zambia,1221,25,1221,-
307,Konyaspor,Turkey,1492,420,1385,+
585,Koper,Slovenia,1416,119,1389,+
1305,Korona Kielce,Poland,1313,14,1313,-
996,Kortrijk,Belgium,1346,102,1359,-
1183,Košice,Slovakia,1327,4,1327,-
2564,Kozara Gradiška,Bosnia and Herzegovina,1214,18,1214,-
1788,KPV,Finland,1271,2,1271,-
291,KRC Genk,Belgium,1501,39,1518,-
782,Kristiansund BK,Norway,1377,91,1391,-
2160,Krumkachy Minsk,Belarus,1247,40,1247,-
2454,Kruoja Pakruojis,Lithuania,1225,24,1225,-
541,Krylya Sovetov Samara,Russia,1425,218,1378,+
930,Kryvbas,Ukraine,1354,9,1354,-
388,KS Raków Częstochowa,Poland,1463,285,1394,+
1139,KS Warta Poznań,Poland,1331,13,1332,-
627,Kuban' Krasnodar,Russia,1406,12,1406,-
2213,Kukesi,Albania,1243,39,1243,-
255,KuPS,Finland,1519,107,1473,+
2142,Kuwait SC,Kuwait,1248,42,1248,-
395,KV Mechelen,Belgium,1462,93,1437,+
1151,KV Oostende,Belgium,1330,433,1387,-
743,Kwara United,Nigeria,1385,181,1354,+
2066,Kyoto Sanga FC,Japan,1252,253,1240,+
1844,Kyzylzhar Petropavlovsk,Kazakhstan,1268,147,1256,+
1601,L.A. Firpo,El Salvador,1287,219,1268,+
447,La Equidad,Colombia,1447,83,1471,-
965,LA Galaxy,United States,1351,199,1328,+
2762,La Horquetta Rangers FC,Trinidad and Tobago,1068,0,1068,-
2713,La Paz,Bolivia,1178,3,1178,-
2157,La U Universitarios,Costa Rica,1247,39,1247,-
2060,Lae City Dwellers,Papua New Guinea,1252,3,1252,-
2244,Lajong SC,India,1242,35,1242,-
1488,Lamia,Greece,1297,662,1367,-
828,Lamontville Golden Arrows,South Africa,1369,38,1372,-
176,Lanús,Argentina,1556,46,1587,-
1408,Larisa Ael,Greece,1302,68,1299,+
1247,Larne FC,Northern Ireland,1320,117,1307,+
722,Las Palmas,Spain,1389,17,1389,-
310,LASK Linz,Austria,1491,87,1531,-
1678,Lausanne,Cameroon,1281,547,1332,-
1780,Lausanne Sport,Switzerland,1272,0,1272,-
1397,Lautoka,Fiji,1303,2,1303,-
36,Lazio,Italy,1745,15,1775,-
251,LD Alajuelense,Costa Rica,1521,81,1556,-
182,LDU de Quito,Ecuador,1553,83,1613,-
1351,LDU Portoviejo,Ecuador,1308,6,1308,-
631,Le Mans,France,1406,12,1406,-
352,Lecce,Italy,1475,0,1475,-
327,Lech Poznań,Poland,1483,159,1438,+
609,Lechia Gdańsk,Poland,1410,34,1401,+
162,Leeds United,England,1563,96,1660,-
105,Leganes,Spain,1612,3,1612,-
396,Legia Warszawa,Poland,1461,170,1531,-
1339,Legon Cities FC,Ghana,1309,4,1310,-
45,Leicester City,England,1705,17,1745,-
1269,Leixões,Portugal,1318,6,1318,-
1932,Lengthens,Zimbabwe,1261,12,1261,-
199,Lens,France,1543,39,1563,-
160,León,Mexico,1564,31,1587,-
946,León de Huánuco,Peru,1353,9,1353,-
1563,Leones FC,Colombia,1290,25,1290,-
816,Leones Negros U. de G.,Mexico,1371,18,1371,-
1168,Léopards de Dolisié,Congo,1328,4,1328,-
1812,Levadiakos,Greece,1269,8,1269,-
233,Levante,Spain,1530,109,1590,-
300,Levski Sofia,Bulgaria,1496,19,1490,+
2397,Liaoning Hongyun,China PR,1230,30,1230,-
116,Libertad,Paraguay,1600,0,1602,-
1476,Liberty Professionals,Ghana,1298,57,1302,-
1586,Lierse,Belgium,1288,24,1288,-
2642,Lietava Jonava,Lithuania,1199,64,1214,-
922,Liga de Loja,Ecuador,1355,4,1355,-
1988,Liga Muçulmana,Mozambique,1257,16,1257,-
2041,Likasi,Congo DR,1254,10,1254,-
44,Lille,France,1708,22,1775,-
811,Lillestrøm,Norway,1372,475,1316,+
2476,Lime Hotspurs,Zambia,1223,25,1223,-
